mid,dtg,y,x
LR-ASC-003,2026-03-01T05:00:00,12.364466,-1.521212
LR-ASC-003,2026-03-01T06:00:00,12.36251,-1.51308
ST-DEV-001,2026-03-01T06:00:00,12.359673,-1.516403
LR-ASC-003,2026-03-01T06:05:00,12.362517,-1.513088
LR-ASC-003,2026-03-01T06:10:00,12.362494,-1.513086
ST-DEV-001,2026-03-01T06:10:00,12.359702,-1.51637
LR-ASC-003,2026-03-01T06:15:00,12.362486,-1.513104
ST-DEV-001,2026-03-01T06:20:00,12.359654,-1.516359
LR-ASC-003,2026-03-01T06:20:00,12.362491,-1.513099
LR-ASC-003,2026-03-01T06:25:00,12.362542,-1.513134
ST-DEV-001,2026-03-01T06:30:00,12.359696,-1.516412
LR-ASC-003,2026-03-01T06:30:00,12.362512,-1.513129
LR-ASC-003,2026-03-01T06:35:00,12.362492,-1.51308
ST-DEV-001,2026-03-01T06:40:00,12.359673,-1.516445
LR-ASC-003,2026-03-01T06:40:00,12.362501,-1.513119
LR-ASC-003,2026-03-01T06:45:00,12.362487,-1.513088
ST-DEV-001,2026-03-01T06:50:00,12.359722,-1.516398
LR-ASC-003,2026-03-01T06:50:00,12.362487,-1.513096
LR-ASC-003,2026-03-01T06:55:00,12.362501,-1.513112
ST-DEV-001,2026-03-01T07:00:00,12.359665,-1.516435
LR-ASC-003,2026-03-01T07:00:00,12.361831,-1.514451
ST-ASC-003,2026-03-01T07:00:00,12.359413,-1.51634
ST-DEV-001,2026-03-01T07:00:00,12.359413,-1.51634
ST-DEV-001,2026-03-01T07:10:00,12.359691,-1.516355
ST-DEV-001,2026-03-01T07:20:00,12.359693,-1.516441
ST-DEV-001,2026-03-01T07:30:00,12.359693,-1.516407
ST-DEV-001,2026-03-01T07:40:00,12.359627,-1.516401
ST-DEV-001,2026-03-01T07:50:00,12.359694,-1.516381
civ-2b45e74d-42d2-4d50-aa6a-7a3af2caaec1,2026-03-01T07:50:00,12.364075,-1.515599
civ-1493bb27-c9aa-4752-bb59-eebcef0baefb,2026-03-01T07:51:00,12.362957,-1.522296
civ-6cef502b-9aa9-492d-9076-f4fe51c3d513,2026-03-01T07:51:00,12.363976,-1.515488
civ-817b1ac2-8b62-4963-9676-fdfe05160ec2,2026-03-01T07:51:00,12.362937,-1.522331
civ-9c199966-6fe0-4d08-8c17-ef6131c70e92,2026-03-01T07:52:00,12.364002,-1.515249
civ-5f19587d-f9d4-45e1-95cc-4a1462e1221d,2026-03-01T07:53:00,12.36403,-1.515437
civ-f752f7b2-d4eb-47df-a259-72cae2081fed,2026-03-01T07:55:00,12.36401,-1.515335
civ-cdb53c5f-9a7a-48fb-8815-1b5e444c506b,2026-03-01T07:55:00,12.36283,-1.522612
civ-611fe07a-a2f0-442f-9fc5-a72c5ee34037,2026-03-01T07:57:00,12.364016,-1.515378
civ-3b925994-a234-43bf-a3fb-1518a0494ff0,2026-03-01T07:57:00,12.364068,-1.515483
civ-2fdc0436-1a04-434c-9d37-9bde6f249a5a,2026-03-01T07:58:00,12.362975,-1.522577
ST-ASC-003,2026-03-01T08:00:00,12.362482,-1.51311
LR-ASC-003,2026-03-01T08:00:00,12.362539,-1.513115
ST-ASC-003,2026-03-01T08:00:00,12.3625,-1.513116
ST-DEV-001,2026-03-01T08:00:00,12.35975,-1.51637
ST-DEV-001,2026-03-01T08:00:00,12.364009,-1.515402
civ-642e97d3-8d95-46fd-b10b-62983c9c93b8,2026-03-01T08:01:00,12.363959,-1.515476
civ-15f8c388-2b33-4e47-b91d-53cd3a04bf48,2026-03-01T08:01:00,12.364143,-1.515446
civ-6bacced4-8959-468d-8041-f082312ed83e,2026-03-01T08:02:00,12.36384,-1.515265
civ-6465e4c0-d8dc-4972-bee7-bb6306b5fdfb,2026-03-01T08:03:00,12.364021,-1.515331
civ-0204c6dc-5f86-412c-9d05-0a31fa7ffb2d,2026-03-01T08:04:00,12.364093,-1.515446
ST-ASC-003,2026-03-01T08:05:00,12.362501,-1.513112
ST-ASC-003,2026-03-01T08:05:00,12.362502,-1.513109
civ-c4f94f5c-24ad-4bf5-9583-d3aea6586d8c,2026-03-01T08:05:00,12.364078,-1.515278
LR-ASC-003,2026-03-01T08:05:00,12.362485,-1.513111
civ-bc1e3457-fde8-443c-9c92-d09856ab0271,2026-03-01T08:06:00,12.364043,-1.51538
civ-d3964bd1-513b-42c0-b2da-9d4cde522505,2026-03-01T08:06:00,12.362929,-1.52252
civ-7547f95b-ca80-463d-81af-64baaecebbbf,2026-03-01T08:07:00,12.362959,-1.522505
civ-0772b70c-5227-404f-abb9-6f4bf823ce9a,2026-03-01T08:07:00,12.36422,-1.515388
civ-28886a71-a8de-4e8c-8ebc-a1265ae6176c,2026-03-01T08:08:00,12.36286,-1.522466
ST-ASC-003,2026-03-01T08:10:00,12.362472,-1.513099
ST-DEV-001,2026-03-01T08:10:00,12.364012,-1.515373
ST-DEV-001,2026-03-01T08:10:00,12.359693,-1.51643
civ-1c8aeb44-c08d-4761-bb57-9bf0fb45ca2d,2026-03-01T08:10:00,12.362829,-1.522458
LR-ASC-003,2026-03-01T08:10:00,12.362462,-1.513109
civ-99965e45-072a-4918-b9b1-21e5c468122b,2026-03-01T08:10:00,12.364006,-1.515443
ST-ASC-003,2026-03-01T08:10:00,12.362518,-1.513103
civ-1c8aeb44-c08d-4761-bb57-9bf0fb45ca2d,2026-03-01T08:10:00,12.364169,-1.515279
civ-0772b70c-5227-404f-abb9-6f4bf823ce9a,2026-03-01T08:13:00,12.362925,-1.522601
civ-0204c6dc-5f86-412c-9d05-0a31fa7ffb2d,2026-03-01T08:13:00,12.362943,-1.52247
civ-fc9771b7-c1ef-4ca0-b8a3-720ac96c75fe,2026-03-01T08:14:00,12.363867,-1.515297
ST-ASC-003,2026-03-01T08:15:00,12.362485,-1.513106
